antecedente;consequente;suporte;confiança;pto médio ant.;pto médio cons.
[8];[2, 17];2;0.4;"[-0.931  0.227 -0.094 -0.899  0.096 -0.259 -0.127 -0.168  0.012 -0.259
  0.14 ]";"[-1.016 -0.294  0.054  0.416 -0.361  0.075  0.11  -0.065  0.094  0.057
  0.007]"
[2];[8, 17];2;0.3333333333333333;"[-1.276e+00 -2.310e-01 -2.800e-02  2.180e-01  1.480e-01  8.500e-02
  5.000e-03 -1.030e-01 -1.590e-01  1.690e-01 -1.000e-03]";"[-0.843 -0.065  0.021 -0.143 -0.388 -0.097  0.044 -0.097  0.179 -0.157
  0.078]"
[12, 9];[6];5;0.8333333333333334;"[ 0.645 -0.688  0.655  0.562  0.104 -0.048 -0.184 -0.24   0.065  0.094
 -0.021]";"[ 1.276e+00  2.310e-01  2.800e-02 -2.180e-01 -1.480e-01 -8.500e-02
 -5.000e-03  1.030e-01  1.590e-01 -1.690e-01  1.000e-03]"
[12, 6];[9];5;0.7142857142857143;"[ 0.953 -0.229  0.113  0.325  0.161 -0.137 -0.    -0.111  0.162 -0.055
  0.068]";"[ 0.66  -0.687  1.111  0.257 -0.263  0.093 -0.372 -0.154 -0.035  0.129
 -0.176]"
[6, 9];[12];5;1.0;"[ 0.968 -0.228  0.57   0.02  -0.206  0.004 -0.188 -0.026  0.062 -0.02
 -0.088]";"[ 0.631 -0.689  0.199  0.867  0.471 -0.189  0.004 -0.326  0.165  0.059
  0.135]"
[12];[6, 9];5;0.5;"[ 0.631 -0.689  0.199  0.867  0.471 -0.189  0.004 -0.326  0.165  0.059
  0.135]";"[ 0.968 -0.228  0.57   0.02  -0.206  0.004 -0.188 -0.026  0.062 -0.02
 -0.088]"
[9];[6, 12];5;0.8333333333333334;"[ 0.66  -0.687  1.111  0.257 -0.263  0.093 -0.372 -0.154 -0.035  0.129
 -0.176]";"[ 0.953 -0.229  0.113  0.325  0.161 -0.137 -0.    -0.111  0.162 -0.055
  0.068]"
[6];[9, 12];5;0.5555555555555556;"[ 1.276e+00  2.310e-01  2.800e-02 -2.180e-01 -1.480e-01 -8.500e-02
 -5.000e-03  1.030e-01  1.590e-01 -1.690e-01  1.000e-03]";"[ 0.645 -0.688  0.655  0.562  0.104 -0.048 -0.184 -0.24   0.065  0.094
 -0.021]"
[12, 13];[6];5;1.0;"[ 0.538  0.084  0.472  0.139  0.076 -0.012  0.272 -0.346  0.029  0.094
  0.087]";"[ 1.276e+00  2.310e-01  2.800e-02 -2.180e-01 -1.480e-01 -8.500e-02
 -5.000e-03  1.030e-01  1.590e-01 -1.690e-01  1.000e-03]"
[6, 13];[12];5;0.7142857142857143;"[ 0.86   0.545  0.387 -0.404 -0.234  0.04   0.268 -0.131  0.026 -0.02
  0.02 ]";"[ 0.631 -0.689  0.199  0.867  0.471 -0.189  0.004 -0.326  0.165  0.059
  0.135]"
